task,split,class_name,class_idx,filename,stem,pair_key,extension,path,relative_path,plane,valid,error,width,height,channels,mode,format,file_size_bytes,sha256,phash,has_expert_mask,expert_mask_path,mask_source,seg_target_valid,filename_prefix,filename_suffix
classification,train,glioma,0,brisc2025_train_00406_gl_co_t1.jpg,brisc2025_train_00406_gl_co_t1,brisc2025train00406glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00406_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00406_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26040,5e4bf9549dd0b305f5475030d80d4263f383cb1f852f8a2d4f9352e35bb9a9ce,c51a6ee53cf43033,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00406_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00407_gl_co_t1.jpg,brisc2025_train_00407_gl_co_t1,brisc2025train00407glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00407_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00407_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,28164,3830fa89186bf90b1034b657898b56e4ee2416eaf9bf7c6c79084efde5ae4147,86692e3969a53c79,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00407_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00408_gl_co_t1.jpg,brisc2025_train_00408_gl_co_t1,brisc2025train00408glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00408_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00408_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26320,56405c10517d5ff97ded43ff3d2b07e0b5a7a62cb7bc4c8b148e4dd9e662c2cd,c1342b6e7cb06d2e,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00408_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00409_gl_co_t1.jpg,brisc2025_train_00409_gl_co_t1,brisc2025train00409glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00409_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00409_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25299,1b1df8c2b4e4eced7e40cf9d04dde675e894072b17d49ecb1f59b773a91276e3,96693e3960b671c6,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00409_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00410_gl_co_t1.jpg,brisc2025_train_00410_gl_co_t1,brisc2025train00410glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00410_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00410_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25114,849d55bbe3f1dc7dd1b0c65a051152b493dee5784225c0ddf164dda00ede02dc,c6496e783de07925,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00410_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00411_gl_co_t1.jpg,brisc2025_train_00411_gl_co_t1,brisc2025train00411glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00411_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00411_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23735,3833c403ef39aa58acf74ad5ec5425a2bf2a2b6e6ee0823b8913d68a21e316bf,c31e7a482df16d61,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00411_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00412_gl_co_t1.jpg,brisc2025_train_00412_gl_co_t1,brisc2025train00412glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00412_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00412_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,28998,50f5fb7d7114a9405ec48fd0efc10362d3a6807555446d69aaeb60b5909a0666,851f3a583ef06969,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00412_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00413_gl_co_t1.jpg,brisc2025_train_00413_gl_co_t1,brisc2025train00413glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00413_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00413_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,29988,d4d7eb03b8a953c7219ad3702151fd072d64957f5c4590550448e36c935784c8,c21b6f2d3cb17864,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00413_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00414_gl_co_t1.jpg,brisc2025_train_00414_gl_co_t1,brisc2025train00414glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00414_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00414_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23198,e720621b4ff394cba6c0930b5d3b0eed704a2c0e125d0f62710af388f69b40ae,c33e6f743c913464,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00414_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00415_gl_co_t1.jpg,brisc2025_train_00415_gl_co_t1,brisc2025train00415glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00415_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00415_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25591,093f4236c971ad665deae468248d610ea91765ec53ab58b1cfc9e7c6f515968c,914f2e5a3dc1613d,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00415_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00416_gl_co_t1.jpg,brisc2025_train_00416_gl_co_t1,brisc2025train00416glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00416_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00416_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,27300,814414da945218f00c78d0e52bdb811718e77c227d90b75a69e0b0612d6a87e2,c11e7e293c64b175,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00416_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00417_gl_co_t1.jpg,brisc2025_train_00417_gl_co_t1,brisc2025train00417glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00417_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00417_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,28410,b48cc5df93f076cb424504219faa5683ecb7538f0e8af0b331f0aa2e04f24ac0,c51f6e1e68077869,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00417_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00418_gl_co_t1.jpg,brisc2025_train_00418_gl_co_t1,brisc2025train00418glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00418_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00418_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,19802,dadc4aedcb77f727246d10b8efb0956ea720d15451c9eaf2446ee345c4da7095,c33c696834e366d6,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00418_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00419_gl_co_t1.jpg,brisc2025_train_00419_gl_co_t1,brisc2025train00419glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00419_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00419_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,22812,60248a00bd87d82df7ccda699011f025fb89c9eada4f7ed9378025748dcdb602,c01e3bf12ce437b2,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00419_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00420_gl_co_t1.jpg,brisc2025_train_00420_gl_co_t1,brisc2025train00420glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00420_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00420_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,21932,1d081063864f82c9515c403104648bf397067d325ea1b4549bed8c81281bc075,d63c6b7829633427,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00420_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00421_gl_co_t1.jpg,brisc2025_train_00421_gl_co_t1,brisc2025train00421glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00421_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00421_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,28826,27c1d275c113ab549b096ae567f53009f3378d8531382d68c2b331145428041f,d31c3a783c916979,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00421_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00422_gl_co_t1.jpg,brisc2025_train_00422_gl_co_t1,brisc2025train00422glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00422_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00422_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,18578,02a08fcf2dd0174628542caf95a31182cd15519ca4140a5b4ee938207dc8da02,c26d3d3632c329cb,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00422_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00423_gl_co_t1.jpg,brisc2025_train_00423_gl_co_t1,brisc2025train00423glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00423_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00423_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23876,75438b39f5ee71b6f97cf122029c9220d0fcf8130adaeb65cb0f2516e24a506c,c03f7a2531d24e9b,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00423_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00424_gl_co_t1.jpg,brisc2025_train_00424_gl_co_t1,brisc2025train00424glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00424_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00424_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,22158,9f4ed340f6a7445bae80428fd41e2276da59003adeec229ae2496737b8ec2575,863a7be461c32ce6,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00424_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00425_gl_co_t1.jpg,brisc2025_train_00425_gl_co_t1,brisc2025train00425glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00425_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00425_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26314,6ee4ebaf266b93e91e0118f53b8866bcf244e3b3cd9954a196b13cf8bdfdcf11,96c92f9e78192d58,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00425_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00426_gl_co_t1.jpg,brisc2025_train_00426_gl_co_t1,brisc2025train00426glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00426_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00426_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25499,598cc0afe5393e23bd2088621622ade0ba7561a309aeb24167bf888dbe41b87e,936c2e7168b47372,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00426_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00427_gl_co_t1.jpg,brisc2025_train_00427_gl_co_t1,brisc2025train00427glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00427_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00427_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,24726,f3ce51c275ec36fd22285c12cb6475b6411eeb4394ca83e4c0efcfaa296a207a,93306e6e38d165e5,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00427_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00428_gl_co_t1.jpg,brisc2025_train_00428_gl_co_t1,brisc2025train00428glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00428_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00428_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26989,f18608438118e39d661c5f82242ace781a24cc8c61bf9d44aaf10aff1399df13,c19d2fd839cb6149,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00428_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00429_gl_co_t1.jpg,brisc2025_train_00429_gl_co_t1,brisc2025train00429glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00429_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00429_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25303,6bbc48a7bee5611af0ef9ce919f54eb618a9cc46740ca55e0570a064b74c484c,87d97a1a69cc6661,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00429_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00430_gl_co_t1.jpg,brisc2025_train_00430_gl_co_t1,brisc2025train00430glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00430_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00430_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26330,86c886be811d610b2e9d9ff2fee6ba367bc89587606f8bef71c51f466bdd4c4c,c01d2f1c3dd23d69,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00430_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00431_gl_co_t1.jpg,brisc2025_train_00431_gl_co_t1,brisc2025train00431glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00431_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00431_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,21108,eab2257dbe0e589ed14396fd2706e8dadcf960c552a42d49a2e796efc4a5b81c,c6693f6134c633c6,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00431_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00432_gl_co_t1.jpg,brisc2025_train_00432_gl_co_t1,brisc2025train00432glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00432_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00432_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,23642,fc995e13b75f7a73ebce395e7bba9ea485bc180661083c62cce261d734fc6b9b,c67939613186f273,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00432_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00433_gl_co_t1.jpg,brisc2025_train_00433_gl_co_t1,brisc2025train00433glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00433_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00433_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,26235,4d1c448939dc09f60e049a5969f4157d2a40b877f0b9fe27e3f2461fd120b909,c22c2f2f7c2b3478,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00433_gl_co_t1.png,expert,True,brisc2025,t1
classification,train,glioma,0,brisc2025_train_00434_gl_co_t1.jpg,brisc2025_train_00434_gl_co_t1,brisc2025train00434glcot1,.jpg,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00434_gl_co_t1.jpg,🧠 Brain Tumor MRI Dataset\classification_task\train\glioma\brisc2025_train_00434_gl_co_t1.jpg,unknown,True,,512,512,3,RGB,JPEG,25793,6bcea9d04e7d40cd00b1102d3196666e351abb772e4a49ad15c2efe9af0a0102,c23c3f683ce66136,True,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\train\masks\brisc2025_train_00434_gl_co_t1.png,expert,True,brisc2025,t1
