selection_id,dataset_index,classification_path,classification_basename,classification_stem,label,class_name,plane,mask_path,match_method,segmentation_image_path,true_idx,phase9_pred_idx,phase9_correct,phase9_confidence
17,741,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00742_pi_ax_t1.jpg,brisc2025_test_00742_pi_ax_t1.jpg,brisc2025_test_00742_pi_ax_t1,2,pituitary,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00742_pi_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00742_pi_ax_t1.jpg,2,2,True,1.0
18,473,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00474_me_co_t1.jpg,brisc2025_test_00474_me_co_t1.jpg,brisc2025_test_00474_me_co_t1,1,meningioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00474_me_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00474_me_co_t1.jpg,1,1,True,1.0
19,257,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00258_me_ax_t1.jpg,brisc2025_test_00258_me_ax_t1.jpg,brisc2025_test_00258_me_ax_t1,1,meningioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00258_me_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00258_me_ax_t1.jpg,1,1,True,1.0
20,879,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00880_pi_co_t1.jpg,brisc2025_test_00880_pi_co_t1.jpg,brisc2025_test_00880_pi_co_t1,2,pituitary,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00880_pi_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00880_pi_co_t1.jpg,2,2,True,1.0
21,128,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00129_gl_co_t1.jpg,brisc2025_test_00129_gl_co_t1.jpg,brisc2025_test_00129_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00129_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00129_gl_co_t1.jpg,0,0,True,1.0
22,843,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00844_pi_co_t1.jpg,brisc2025_test_00844_pi_co_t1.jpg,brisc2025_test_00844_pi_co_t1,2,pituitary,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00844_pi_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00844_pi_co_t1.jpg,2,2,True,1.0
23,155,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00156_gl_co_t1.jpg,brisc2025_test_00156_gl_co_t1.jpg,brisc2025_test_00156_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00156_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00156_gl_co_t1.jpg,0,0,True,1.0
24,913,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00914_pi_co_t1.jpg,brisc2025_test_00914_pi_co_t1.jpg,brisc2025_test_00914_pi_co_t1,2,pituitary,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00914_pi_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00914_pi_co_t1.jpg,2,2,True,1.0
25,889,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00890_pi_co_t1.jpg,brisc2025_test_00890_pi_co_t1.jpg,brisc2025_test_00890_pi_co_t1,2,pituitary,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00890_pi_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00890_pi_co_t1.jpg,2,2,True,1.0
26,968,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00969_pi_sa_t1.jpg,brisc2025_test_00969_pi_sa_t1.jpg,brisc2025_test_00969_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00969_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00969_pi_sa_t1.jpg,2,2,True,1.0
27,773,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00774_pi_ax_t1.jpg,brisc2025_test_00774_pi_ax_t1.jpg,brisc2025_test_00774_pi_ax_t1,2,pituitary,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00774_pi_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00774_pi_ax_t1.jpg,2,2,True,1.0
28,952,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00953_pi_sa_t1.jpg,brisc2025_test_00953_pi_sa_t1.jpg,brisc2025_test_00953_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00953_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00953_pi_sa_t1.jpg,2,2,True,1.0
29,231,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00232_gl_sa_t1.jpg,brisc2025_test_00232_gl_sa_t1.jpg,brisc2025_test_00232_gl_sa_t1,0,glioma,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00232_gl_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00232_gl_sa_t1.jpg,0,0,True,1.0
30,131,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00132_gl_co_t1.jpg,brisc2025_test_00132_gl_co_t1.jpg,brisc2025_test_00132_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00132_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00132_gl_co_t1.jpg,0,0,True,1.0
31,161,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00162_gl_co_t1.jpg,brisc2025_test_00162_gl_co_t1.jpg,brisc2025_test_00162_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00162_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00162_gl_co_t1.jpg,0,0,True,1.0
32,54,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00055_gl_ax_t1.jpg,brisc2025_test_00055_gl_ax_t1.jpg,brisc2025_test_00055_gl_ax_t1,0,glioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00055_gl_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00055_gl_ax_t1.jpg,0,0,True,1.0
33,373,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00374_me_ax_t1.jpg,brisc2025_test_00374_me_ax_t1.jpg,brisc2025_test_00374_me_ax_t1,1,meningioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00374_me_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00374_me_ax_t1.jpg,1,1,True,1.0
34,47,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00048_gl_ax_t1.jpg,brisc2025_test_00048_gl_ax_t1.jpg,brisc2025_test_00048_gl_ax_t1,0,glioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00048_gl_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00048_gl_ax_t1.jpg,0,0,True,1.0
35,226,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00227_gl_sa_t1.jpg,brisc2025_test_00227_gl_sa_t1.jpg,brisc2025_test_00227_gl_sa_t1,0,glioma,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00227_gl_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00227_gl_sa_t1.jpg,0,0,True,1.0
36,928,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00929_pi_sa_t1.jpg,brisc2025_test_00929_pi_sa_t1.jpg,brisc2025_test_00929_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00929_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00929_pi_sa_t1.jpg,2,2,True,1.0
37,376,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00377_me_ax_t1.jpg,brisc2025_test_00377_me_ax_t1.jpg,brisc2025_test_00377_me_ax_t1,1,meningioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00377_me_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00377_me_ax_t1.jpg,1,1,True,1.0
38,86,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00087_gl_co_t1.jpg,brisc2025_test_00087_gl_co_t1.jpg,brisc2025_test_00087_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00087_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00087_gl_co_t1.jpg,0,0,True,1.0
39,12,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,brisc2025_test_00013_gl_ax_t1.jpg,brisc2025_test_00013_gl_ax_t1,0,glioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00013_gl_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,0,0,True,1.0
40,85,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00086_gl_co_t1.jpg,brisc2025_test_00086_gl_co_t1.jpg,brisc2025_test_00086_gl_co_t1,0,glioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00086_gl_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00086_gl_co_t1.jpg,0,0,True,1.0
41,931,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00932_pi_sa_t1.jpg,brisc2025_test_00932_pi_sa_t1.jpg,brisc2025_test_00932_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00932_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00932_pi_sa_t1.jpg,2,2,True,1.0
42,491,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00492_me_sa_t1.jpg,brisc2025_test_00492_me_sa_t1.jpg,brisc2025_test_00492_me_sa_t1,1,meningioma,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00492_me_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00492_me_sa_t1.jpg,1,1,True,1.0
43,517,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00518_me_sa_t1.jpg,brisc2025_test_00518_me_sa_t1.jpg,brisc2025_test_00518_me_sa_t1,1,meningioma,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00518_me_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00518_me_sa_t1.jpg,1,1,True,1.0
44,33,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00034_gl_ax_t1.jpg,brisc2025_test_00034_gl_ax_t1.jpg,brisc2025_test_00034_gl_ax_t1,0,glioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00034_gl_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00034_gl_ax_t1.jpg,0,0,True,1.0
45,40,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00041_gl_ax_t1.jpg,brisc2025_test_00041_gl_ax_t1.jpg,brisc2025_test_00041_gl_ax_t1,0,glioma,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00041_gl_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00041_gl_ax_t1.jpg,0,0,True,1.0
46,454,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00455_me_co_t1.jpg,brisc2025_test_00455_me_co_t1.jpg,brisc2025_test_00455_me_co_t1,1,meningioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00455_me_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00455_me_co_t1.jpg,1,1,True,1.0
47,939,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00940_pi_sa_t1.jpg,brisc2025_test_00940_pi_sa_t1.jpg,brisc2025_test_00940_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00940_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00940_pi_sa_t1.jpg,2,2,True,1.0
48,964,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00965_pi_sa_t1.jpg,brisc2025_test_00965_pi_sa_t1.jpg,brisc2025_test_00965_pi_sa_t1,2,pituitary,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00965_pi_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00965_pi_sa_t1.jpg,2,2,True,1.0
49,432,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00433_me_co_t1.jpg,brisc2025_test_00433_me_co_t1.jpg,brisc2025_test_00433_me_co_t1,1,meningioma,coronal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00433_me_co_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00433_me_co_t1.jpg,1,2,False,0.85
50,822,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00823_pi_ax_t1.jpg,brisc2025_test_00823_pi_ax_t1.jpg,brisc2025_test_00823_pi_ax_t1,2,pituitary,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00823_pi_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00823_pi_ax_t1.jpg,2,2,True,1.0
51,533,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00534_me_sa_t1.jpg,brisc2025_test_00534_me_sa_t1.jpg,brisc2025_test_00534_me_sa_t1,1,meningioma,sagittal,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00534_me_sa_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00534_me_sa_t1.jpg,1,1,True,1.0
52,771,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00772_pi_ax_t1.jpg,brisc2025_test_00772_pi_ax_t1.jpg,brisc2025_test_00772_pi_ax_t1,2,pituitary,axial,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\segmentation_task\test\masks\brisc2025_test_00772_pi_ax_t1.png,filename_class_plane,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00772_pi_ax_t1.jpg,2,2,True,1.0
