model,path,plane,true_idx,pred_idx,correct,confidence,brier
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00014_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00015_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00016_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00017_gl_ax_t1.jpg,axial,0,0,True,1.0,4.935999999999999e-13
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00018_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00019_gl_ax_t1.jpg,axial,0,0,True,1.0,9.999999999999998e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00020_gl_ax_t1.jpg,axial,0,0,True,1.0,4.6225000000000005e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00021_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00022_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00023_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00024_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00025_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00026_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00027_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00028_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00029_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00030_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00031_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00032_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00033_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00034_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00035_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00036_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00037_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00038_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00039_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00040_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00041_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00042_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00043_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00044_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00045_gl_ax_t1.jpg,axial,0,0,True,0.792,0.0865696102706125
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00046_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00047_gl_ax_t1.jpg,axial,0,0,True,1.0,5.759999999999999e-14
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00048_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00049_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00050_gl_ax_t1.jpg,axial,0,0,True,1.0,8.535999999999999e-13
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00051_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00052_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00053_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00054_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00055_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00056_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00057_gl_ax_t1.jpg,axial,0,0,True,1.0,2.6026910900000005e-08
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00058_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00059_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00060_gl_ax_t1.jpg,axial,0,0,True,1.0,3.6521254900000003e-08
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00061_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00062_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00063_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00064_gl_ax_t1.jpg,axial,0,0,True,1.0,8.2369e-10
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00065_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00066_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00067_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00068_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00069_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00070_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00071_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00072_gl_ax_t1.jpg,axial,0,0,True,1.0,1.1414409999999998e-10
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00073_gl_ax_t1.jpg,axial,0,0,True,1.0,3.599999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00074_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00075_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00076_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00077_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00078_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00079_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00080_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00081_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00082_gl_ax_t1.jpg,axial,0,0,True,1.0,1.9891000000000001e-10
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00083_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00084_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00085_gl_ax_t1.jpg,axial,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00086_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00087_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00088_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00089_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00090_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00091_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00092_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00093_gl_co_t1.jpg,coronal,0,0,True,1.0,6.090759999999998e-11
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00094_gl_co_t1.jpg,coronal,0,0,True,1.0,8.420000000000002e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00095_gl_co_t1.jpg,coronal,0,0,True,1.0,3.6e-13
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00096_gl_co_t1.jpg,coronal,0,0,True,0.9985,3.3101880399998377e-06
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00097_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00098_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00099_gl_co_t1.jpg,coronal,0,0,True,1.0,9.110100000000001e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00100_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00101_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00102_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00103_gl_co_t1.jpg,coronal,0,0,True,1.0,1.7e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00104_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00105_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00106_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00107_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00108_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00109_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00110_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00111_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00112_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00113_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00114_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00115_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00116_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00117_gl_co_t1.jpg,coronal,0,0,True,1.0,6.572617600000001e-09
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00118_gl_co_t1.jpg,coronal,0,0,True,1.0,4.11e-12
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00119_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00120_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00121_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00122_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00123_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00124_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00125_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00126_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00127_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00128_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00129_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00130_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00131_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00132_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00133_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00134_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00135_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00136_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00137_gl_co_t1.jpg,coronal,0,0,True,1.0,5.759999999999999e-14
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00138_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00139_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00140_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00141_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00142_gl_co_t1.jpg,coronal,0,0,True,1.0,9.999999999999998e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00143_gl_co_t1.jpg,coronal,0,0,True,0.9907,0.00017242289999999953
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00144_gl_co_t1.jpg,coronal,0,0,True,0.987,0.00033930269700000034
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00145_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00146_gl_co_t1.jpg,coronal,0,0,True,1.0,9.546159999999999e-11
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00147_gl_co_t1.jpg,coronal,0,0,True,1.0,1.3537326099999999e-08
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00148_gl_co_t1.jpg,coronal,0,0,True,1.0,0.0
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00149_gl_co_t1.jpg,coronal,0,0,True,1.0,7.199999999999999e-15
EfficientNet-B0,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00150_gl_co_t1.jpg,coronal,0,0,True,1.0,1.41412e-11
