selection_id,dataset_index,path,class_name,plane,true_idx,target_class_idx,target_class_name,phase9_correct,original_pred_idx,tumor_occluded_pred_idx,background_occluded_pred_idx,original_target_probability,tumor_occluded_target_probability,background_occluded_target_probability,delta_p_tumor,delta_p_background,faithfulness_margin,tumor_greater_than_background,tumor_flip,background_flip,tumor_pixels,background_pixels,control_method
11,806,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00807_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.9999802112579346,0.9999862909317017,0.9999806880950928,-6.079673767089844e-06,-4.76837158203125e-07,-5.602836608886719e-06,False,False,False,654,654,translated_exact_shape
12,35,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00036_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,1,0,0.9999988079071045,0.0025619009975343943,0.9999988079071045,0.9974369069095701,0.0,0.9974369069095701,True,True,False,522,522,translated_exact_shape
13,199,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00200_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,1,0,0.9999996423721313,2.1027344700996764e-06,0.9999996423721313,0.9999975396376612,0.0,0.9999975396376612,True,True,False,1125,1125,translated_exact_shape
14,66,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00067_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,0,0,0.9999996423721313,0.9999984502792358,0.9999996423721313,1.1920928955078125e-06,0.0,1.1920928955078125e-06,True,False,False,93,93,translated_exact_shape
15,87,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00088_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999997615814209,0.0025459169410169125,0.9999997615814209,0.997453844640404,0.0,0.997453844640404,True,True,False,1668,1668,translated_exact_shape
16,365,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00366_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,1,1,0.9999963045120239,0.9999978542327881,0.9999961853027344,-1.5497207641601562e-06,1.1920928955078125e-07,-1.6689300537109375e-06,False,False,False,2553,2553,translated_exact_shape
17,741,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00742_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.9999932050704956,0.9999949932098389,0.9999868869781494,-1.7881393432617188e-06,6.318092346191406e-06,-8.106231689453125e-06,False,False,False,488,488,translated_exact_shape
18,473,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00474_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9999988079071045,0.9999988079071045,0.9999988079071045,0.0,0.0,0.0,False,False,False,1780,1780,translated_exact_shape
19,257,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00258_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,3,1,0.9999990463256836,7.827820809325203e-06,0.9999990463256836,0.9999912185048743,0.0,0.9999912185048743,True,True,False,2775,2775,translated_exact_shape
20,879,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00880_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999935626983643,0.9999958276748657,0.9999936819076538,-2.2649765014648438e-06,-1.1920928955078125e-07,-2.1457672119140625e-06,False,False,False,530,530,translated_exact_shape
21,128,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00129_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999996423721313,0.008387729525566101,0.9999996423721313,0.9916119128465652,0.0,0.9916119128465652,True,True,False,775,775,translated_exact_shape
22,843,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00844_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999970197677612,0.9999961853027344,0.9999969005584717,8.344650268554688e-07,1.1920928955078125e-07,7.152557373046875e-07,True,False,False,657,657,translated_exact_shape
23,155,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00156_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999984502792358,2.3916925329103833e-07,0.9999982118606567,0.9999982111099825,2.384185791015625e-07,0.9999979726914034,True,True,False,2015,2015,translated_exact_shape
24,913,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00914_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.999997615814209,0.9999973773956299,0.999997615814209,2.384185791015625e-07,0.0,2.384185791015625e-07,True,False,False,950,950,translated_exact_shape
25,889,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00890_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999918937683105,0.9999940395355225,0.9999918937683105,-2.1457672119140625e-06,0.0,-2.1457672119140625e-06,False,False,False,237,237,translated_exact_shape
26,968,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00969_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999973773956299,0.9999970197677612,0.9999972581863403,3.5762786865234375e-07,1.1920928955078125e-07,2.384185791015625e-07,True,False,False,800,800,translated_exact_shape
27,773,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00774_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.999985933303833,0.9999889135360718,0.9999853372573853,-2.9802322387695312e-06,5.960464477539062e-07,-3.5762786865234375e-06,False,False,False,429,429,translated_exact_shape
28,952,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00953_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999980926513672,0.9999974966049194,0.9999980926513672,5.960464477539062e-07,0.0,5.960464477539062e-07,True,False,False,601,601,translated_exact_shape
29,231,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00232_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,1,0,0.999998927116394,1.3927119653089903e-05,0.999998927116394,0.999984999996741,0.0,0.999984999996741,True,True,False,581,581,translated_exact_shape
30,131,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00132_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,0,0,0.9999997615814209,0.9999873638153076,0.9999997615814209,1.239776611328125e-05,0.0,1.239776611328125e-05,True,False,False,785,785,translated_exact_shape
31,161,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00162_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999996423721313,1.2242496268299874e-05,0.9999996423721313,0.999987399875863,0.0,0.999987399875863,True,True,False,1085,1085,translated_exact_shape
32,54,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00055_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,1,0,0.9999990463256836,0.030155515298247337,0.9999990463256836,0.9698435310274363,0.0,0.9698435310274363,True,True,False,1998,1998,translated_exact_shape
33,373,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00374_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,1,1,0.9999920129776001,0.999993085861206,0.9999921321868896,-1.0728836059570312e-06,-1.1920928955078125e-07,-9.5367431640625e-07,False,False,False,1055,1055,translated_exact_shape
34,47,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00048_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,1,0,0.9999990463256836,2.2647200239589438e-06,0.9999990463256836,0.9999967816056596,0.0,0.9999967816056596,True,True,False,872,872,translated_exact_shape
35,226,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00227_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,1,0,0.9999983310699463,0.0019247265299782157,0.9999983310699463,0.9980736045399681,0.0,0.9980736045399681,True,True,False,359,359,translated_exact_shape
36,928,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00929_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999808073043823,0.9999845027923584,0.9999808073043823,-3.6954879760742188e-06,0.0,-3.6954879760742188e-06,False,False,False,211,211,translated_exact_shape
37,376,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00377_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,1,1,0.9999819993972778,0.9999922513961792,0.9999822378158569,-1.0251998901367188e-05,-2.384185791015625e-07,-1.0013580322265625e-05,False,False,False,2764,2764,translated_exact_shape
38,86,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00087_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,0,0,0.9999990463256836,0.9999600648880005,0.999998927116394,3.898143768310547e-05,1.1920928955078125e-07,3.886222839355469e-05,True,False,False,1040,1040,translated_exact_shape
39,12,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00013_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,1,0,0.9999997615814209,2.318442511750618e-06,0.9999997615814209,0.9999974431389091,0.0,0.9999974431389091,True,True,False,1154,1154,translated_exact_shape
40,85,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00086_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999995231628418,1.2956308637512848e-05,0.9999995231628418,0.9999865668542043,0.0,0.9999865668542043,True,True,False,919,919,translated_exact_shape
41,931,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00932_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999963045120239,0.9999967813491821,0.9999963045120239,-4.76837158203125e-07,0.0,-4.76837158203125e-07,False,False,False,514,514,translated_exact_shape
42,491,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00492_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9999994039535522,0.9999994039535522,0.9999994039535522,0.0,0.0,0.0,False,False,False,3271,3271,translated_exact_shape
43,517,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00518_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9999960660934448,0.9999985694885254,0.9999960660934448,-2.5033950805664062e-06,0.0,-2.5033950805664062e-06,False,False,False,2996,2996,translated_exact_shape
44,33,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00034_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,0,0,0.9999997615814209,0.9999959468841553,0.9999997615814209,3.814697265625e-06,0.0,3.814697265625e-06,True,False,False,892,892,translated_exact_shape
45,40,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00041_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,0,0,0.999997615814209,0.9992897510528564,0.9999973773956299,0.0007078647613525391,2.384185791015625e-07,0.0007076263427734375,True,False,False,1742,1742,translated_exact_shape
46,454,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00455_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9998644590377808,0.9997692704200745,0.999864935874939,9.518861770629883e-05,-4.76837158203125e-07,9.566545486450195e-05,True,False,False,912,912,translated_exact_shape
47,939,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00940_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999922513961792,0.9999932050704956,0.9999922513961792,-9.5367431640625e-07,0.0,-9.5367431640625e-07,False,False,False,396,396,translated_exact_shape
48,964,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00965_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999951124191284,0.999991774559021,0.9999935626983643,3.337860107421875e-06,1.5497207641601562e-06,1.7881393432617188e-06,True,False,False,503,503,translated_exact_shape
49,432,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00433_me_co_t1.jpg,meningioma,coronal,1,2,pituitary,False,2,2,2,0.8485747575759888,0.9999353885650635,0.8262847661972046,-0.1513606309890747,0.02228999137878418,-0.1736506223678589,False,False,False,410,410,translated_exact_shape
50,822,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00823_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.9999849796295166,0.9999918937683105,0.9999849796295166,-6.9141387939453125e-06,0.0,-6.9141387939453125e-06,False,False,False,441,441,translated_exact_shape
51,533,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00534_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9999988079071045,0.9999994039535522,0.9999988079071045,-5.960464477539062e-07,0.0,-5.960464477539062e-07,False,False,False,1394,1394,translated_exact_shape
52,771,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00772_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.999997615814209,0.9999979734420776,0.999997615814209,-3.5762786865234375e-07,0.0,-3.5762786865234375e-07,False,False,False,780,780,translated_exact_shape
53,404,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00405_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9999957084655762,0.9999955892562866,0.9999958276748657,1.1920928955078125e-07,-1.1920928955078125e-07,2.384185791015625e-07,True,False,False,1042,1042,translated_exact_shape
54,78,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00079_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,1,0,0.9999996423721313,8.012341368157649e-07,0.9999996423721313,0.9999988411379945,0.0,0.9999988411379945,True,True,False,1227,1227,translated_exact_shape
55,825,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00826_pi_co_t1.jpg,pituitary,coronal,2,1,meningioma,False,1,2,1,0.9909281134605408,5.005443745176308e-05,0.9904140830039978,0.990878059023089,0.0005140304565429688,0.990364028566546,True,True,False,724,724,translated_exact_shape
56,441,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00442_me_co_t1.jpg,meningioma,coronal,1,1,meningioma,True,1,1,1,0.9999960660934448,0.9999958276748657,0.9999960660934448,2.384185791015625e-07,0.0,2.384185791015625e-07,True,False,False,1520,1520,translated_exact_shape
57,96,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00097_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999971389770508,0.0003976169100496918,0.9999960660934448,0.9995995220670011,1.0728836059570312e-06,0.9995984491833951,True,True,False,4657,4657,translated_exact_shape
58,234,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00235_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,1,0,0.9999860525131226,4.720039214589633e-06,0.9999842643737793,0.999981332473908,1.7881393432617188e-06,0.9999795443345647,True,True,False,670,670,translated_exact_shape
59,205,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00206_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,1,0,0.9999994039535522,3.507182384510088e-07,0.9999994039535522,0.9999990532353138,0.0,0.9999990532353138,True,True,False,2208,2208,translated_exact_shape
60,287,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00288_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,3,1,0.9999985694885254,1.0229340659861919e-05,0.9999985694885254,0.9999883401478655,0.0,0.9999883401478655,True,True,False,2222,2222,translated_exact_shape
61,824,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00825_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999984502792358,0.9999978542327881,0.9999984502792358,5.960464477539062e-07,0.0,5.960464477539062e-07,True,False,False,1013,1013,translated_exact_shape
62,90,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00091_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999995231628418,4.7102216171879263e-07,0.9999994039535522,0.9999990521406801,1.1920928955078125e-07,0.9999989329313905,True,True,False,2280,2280,translated_exact_shape
63,158,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00159_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,1,0,0.9999991655349731,5.86277428737958e-06,0.9999991655349731,0.9999933027606858,0.0,0.9999933027606858,True,True,False,1385,1385,translated_exact_shape
64,98,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00099_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,0,0,0.9999966621398926,0.9999966621398926,0.9999966621398926,0.0,0.0,0.0,False,False,False,87,87,translated_exact_shape
65,513,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00514_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9999955892562866,0.9999958276748657,0.9999957084655762,-2.384185791015625e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,False,False,False,1148,1148,translated_exact_shape
66,190,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00191_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,0,0,0.9999973773956299,0.9999953508377075,0.9999973773956299,2.0265579223632812e-06,0.0,2.0265579223632812e-06,True,False,False,104,104,translated_exact_shape
67,537,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00538_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9999687671661377,0.9999376535415649,0.9999703168869019,3.1113624572753906e-05,-1.5497207641601562e-06,3.266334533691406e-05,True,False,False,908,908,translated_exact_shape
68,847,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00848_pi_co_t1.jpg,pituitary,coronal,2,2,pituitary,True,2,2,2,0.9999964237213135,0.9999961853027344,0.9999964237213135,2.384185791015625e-07,0.0,2.384185791015625e-07,True,False,False,777,777,translated_exact_shape
69,185,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00186_gl_sa_t1.jpg,glioma,sagittal,0,0,glioma,True,0,0,0,0.9999973773956299,0.9997194409370422,0.9999971389770508,0.0002779364585876465,2.384185791015625e-07,0.0002776980400085449,True,False,False,1608,1608,translated_exact_shape
70,482,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00483_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,3,1,0.9999746084213257,5.02461516589392e-05,0.9999746084213257,0.9999243622696667,0.0,0.9999243622696667,True,True,False,707,707,translated_exact_shape
71,802,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00803_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.9999860525131226,0.9999743700027466,0.9999841451644897,1.1682510375976562e-05,1.9073486328125e-06,9.775161743164062e-06,True,False,False,501,501,translated_exact_shape
72,127,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00128_gl_co_t1.jpg,glioma,coronal,0,0,glioma,True,0,0,0,0.999998927116394,0.9999991655349731,0.999998927116394,-2.384185791015625e-07,0.0,-2.384185791015625e-07,False,False,False,570,570,translated_exact_shape
73,948,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00949_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,1,2,0.9999972581863403,0.0006471479428000748,0.9999961853027344,0.9993501102435403,1.0728836059570312e-06,0.9993490373599343,True,True,False,988,988,translated_exact_shape
74,720,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00721_pi_ax_t1.jpg,pituitary,axial,2,2,pituitary,True,2,2,2,0.9999749660491943,0.9999837875366211,0.9999750852584839,-8.821487426757812e-06,-1.1920928955078125e-07,-8.702278137207031e-06,False,False,False,344,344,translated_exact_shape
75,299,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00300_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,3,1,0.9999984502792358,3.60492799700296e-06,0.9999984502792358,0.9999948453512388,0.0,0.9999948453512388,True,True,False,3124,3124,translated_exact_shape
76,502,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00503_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.9997184872627258,0.9998134970664978,0.9997193217277527,-9.500980377197266e-05,-8.344650268554688e-07,-9.417533874511719e-05,False,False,False,480,480,translated_exact_shape
77,996,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\pituitary\brisc2025_test_00997_pi_sa_t1.jpg,pituitary,sagittal,2,2,pituitary,True,2,2,2,0.9999985694885254,0.9999552965164185,0.9999986886978149,4.3272972106933594e-05,-1.1920928955078125e-07,4.3392181396484375e-05,True,False,False,1684,1684,translated_exact_shape
78,377,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00378_me_ax_t1.jpg,meningioma,axial,1,1,meningioma,True,1,1,1,0.999974250793457,0.9999500513076782,0.9999743700027466,2.4199485778808594e-05,-1.1920928955078125e-07,2.4318695068359375e-05,True,False,False,931,931,translated_exact_shape
79,82,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\glioma\brisc2025_test_00083_gl_ax_t1.jpg,glioma,axial,0,0,glioma,True,0,0,0,0.9999997615814209,0.9999996423721313,0.9999997615814209,1.1920928955078125e-07,0.0,1.1920928955078125e-07,True,False,False,798,798,translated_exact_shape
80,506,D:\brain_tumor\🧠 Brain Tumor MRI Dataset\classification_task\test\meningioma\brisc2025_test_00507_me_sa_t1.jpg,meningioma,sagittal,1,1,meningioma,True,1,1,1,0.999987006187439,0.9999926090240479,0.9999877214431763,-5.602836608886719e-06,-7.152557373046875e-07,-4.887580871582031e-06,False,False,False,874,874,translated_exact_shape
